ex:Cat-monidal	appendixF.tex	373	myexample
ex:moncat2cat	appendixF.tex	4362	myexample
fig:tensorcat	appendixF.tex	128	label
lem:1-simple-ringcat	appendixF.tex	1610	mylem
lem:basedring	appendixF.tex	2308	mylem
lem:bimod	appendixF.tex	3294	mylem
lem:braid-ribbon	appendixF.tex	3524	mylem
lem:dual-braid	appendixF.tex	1369	mylem
lem:duals	appendixF.tex	702	mylem
lem:Gr-based	appendixF.tex	2293	mylem
lem:pivotal	appendixF.tex	1990	mylem
lem:qTr-LR	appendixF.tex	1907	mylem
lem:ribbon-dim	appendixF.tex	3662	mylem
lem:rigid-hom	appendixF.tex	983	mylem
prop:1-simple	appendixF.tex	1691	myprop
prop:classification2G	appendixF.tex	4786	myprop
prop:crossed-S2G	appendixF.tex	4557	myprop
prop:DeligneProduct	appendixF.tex	2633	myprop
prop:modc-modcat	appendixF.tex	3220	myprop
prop:monidal-unit	appendixF.tex	470	myprop
prop:pseudo-unitary	appendixF.tex	2597	myprop
prop:S-matrix	appendixF.tex	3812	myprop
prop:separable-alg	appendixF.tex	3355	myprop
prop:special2G	appendixF.tex	4730	myprop
prop:tensor-ring	appendixF.tex	1677	myprop
prop:unitaryfusion	appendixF.tex	2607	myprop
prop:YBeq	appendixF.tex	1266	myprop
redef:enriched-functor	appendixF.tex	4146	mydef
redef:ev-coev-balanced	appendixF.tex	2566	mydef
relem:rdual-unitary	appendixF.tex	2487	mylem
reprop:spherical-unitary	appendixF.tex	2507	myprop
reprop:unitary-Cstar	appendixF.tex	305	myprop
thm:LR-trace	appendixF.tex	2221	mytheo
thm:spherical-ribbon	appendixF.tex	3645	mytheo
thm:W2G-C2G	appendixF.tex	4403	mytheo
assump:induction-Bsc-Sm	appendixG.tex	414	myassump
def:B-mfld	appendixG.tex	1283	mydef
def:cbl	appendixG.tex	629	mydef
def:Enter	appendixG.tex	1243	mydef
def:Fin	appendixG.tex	1324	mydef
def:induction-init	appendixG.tex	405	mydef
def:standard-cosimplicial-mfd	appendixG.tex	687	mydef
def:Yoneda-infty	appendixG.tex	1229	mydef
eq:face-join	appendixG.tex	867	label
eq:horn-coCart	appendixG.tex	1487	label
eq:representable-infty	appendixG.tex	1264	label
ex:cone-diff	appendixG.tex	251	myexample
ex:depth-Cone	appendixG.tex	342	myexample
ex:join-0	appendixG.tex	897	myexample
ex:join-1	appendixG.tex	938	myexample
ex:join-2	appendixG.tex	1007	myexample
ex:str-CW	appendixG.tex	82	myexample
ex:strat-n	appendixG.tex	65	myexample
ex:topo-poset	appendixG.tex	34	myexample
ex:topomfld	appendixG.tex	211	myexample
lem:join-infty	appendixG.tex	1081	mylem
lem:Kan-enriched	appendixG.tex	728	mylem
prop:c-smooth-map	appendixG.tex	601	myprop
thm:unstraightening	appendixG.tex	828	mytheo
def:braidg	chap1.tex	241	mydef
eq:1-composition	chap1.tex	197	label
eq:1-def-propagator	chap1.tex	20	label
eq:1-path1	chap1.tex	69	label
eq:1-pathintegral	chap1.tex	38	label
eq:1-pathprod	chap1.tex	143	label
eq:1-propagator	chap1.tex	188	label
eq:1-propagator-b	chap1.tex	190	label
eq:1-propagator-f	chap1.tex	204	label
ex:1-1abelian	chap1.tex	392	myexample
ex:1-2abelian	chap1.tex	408	myexample
ex:1-3nonabelian	chap1.tex	429	myexample
lem:1-1groupoid	chap1.tex	147	mylem
prop:not4D-knot	chap1.tex	366	myprop
case:complex	chap2.tex	4314	myexample
case:orthogonal	chap2.tex	4425	myexample
case:real	chap2.tex	4372	myexample
col:fundamental-vecf-basic	chap2.tex	1588	mycol
def:Chern-class	chap2.tex	4470	mydef
def:curvature-vect	chap2.tex	3626	mydef
def:flat	chap2.tex	2001	label
def:holonomy	chap2.tex	3845	mydef
def:patched-connection	chap2.tex	2650	label
def:point-fiber	chap2.tex	477	label
def:ractionP	chap2.tex	715	label
eq:2-gauge1	chap2.tex	326	label
eq:2-inner1	chap2.tex	340	label
eq:2-T-comm	chap2.tex	72	label
eq:assoc-loctriv	chap2.tex	1978	label
eq:assoc-sec	chap2.tex	1972	label
eq:Bianchi-second	chap2.tex	3335	label
eq:CF-1	chap2.tex	1843	label
eq:codv-pbun	chap2.tex	3217	label
eq:compatible	chap2.tex	2619	label
eq:CS-gauge	chap2.tex	267	label
eq:def-codv-transform	chap2.tex	349	label
eq:def-gauge-transform	chap2.tex	354	label
eq:dim	chap2.tex	1707	label
eq:extdv-global	chap2.tex	3250	label
eq:field-locsym	chap2.tex	939	label
eq:fundamental-vecf	chap2.tex	1499	label
eq:gauge-transform	chap2.tex	208	label
eq:horizontal-lift-curve-1	chap2.tex	2856	label
eq:horizontal-lift-curve-2	chap2.tex	2882	label
eq:horizontal-lift-curve-3	chap2.tex	2886	label
eq:horizontal-lift-curve-4	chap2.tex	2870	label
eq:horizontal-vect	chap2.tex	4166	label
eq:lagrangian-SC	chap2.tex	91	label
eq:loctriv-Borel	chap2.tex	867	label
eq:tangent-fiber	chap2.tex	1712	label
eq:vL	chap2.tex	1025	label
eq.prop9-1_equiv	chap2.tex	654	label
ex:gl	chap2.tex	1058	myexample
ex:gl-adj	chap2.tex	1418	myexample
ex:tangentbundle	chap2.tex	490	myexample
fig.bundlemap	chap2.tex	526	label
fig.fiber1	chap2.tex	426	label
fig.fiber2	chap2.tex	606	label
lem:basic-form	chap2.tex	3968	mylem
lem:connection	chap2.tex	1716	mylem
lem:diff-product	chap2.tex	2529	mylem
lem:differential-of-local-section	chap2.tex	2565	mylem
lem:extend-horizontal	chap2.tex	3054	mylem
lem:fundamental-vecf	chap2.tex	1503	mylem
lem:horizontal-lift-curve	chap2.tex	2813	mylem
lem:invariant-gl	chap2.tex	4262	mylem
lem:odd-vanish	chap2.tex	4428	mylem
lem:polynomial-eval-injective	chap2.tex	4220	mylem
lem:RtoC	chap2.tex	4375	mylem
lem:tangent-product	chap2.tex	2492	mylem
lem:Z-extension	chap2.tex	4234	mylem
prop:codv-pbun	chap2.tex	3202	myprop
prop:curvature-linear	chap2.tex	3638	myprop
